semester_code,class_number,course_code,assessment_title,result,detail
7660,60242,ACCT1112,In-Semester Exam,carried (whole)," -> LO1, LO2, LO3, LO4, LO5"
7660,60242,ACCT1112,Assignment: Understanding Financial Statements,carried (whole)," -> LO1, LO2, LO3, LO4, LO5, LO6"
7660,60242,ACCT1112,Final exam,carried (whole)," -> LO1, LO2, LO3, LO4, LO5"
7560,60365,ACCT3101,In-Semester Exam,not carried,learning outcomes changed since 7520; check in Jac
7560,60365,ACCT3101,Final Exam (closed book invigilated exam),not carried,learning outcomes changed since 7520; check in Jac
7660,60378,ACCT3101,In-Semester Exam,carried (whole)," -> LO1, LO2, LO3, LO5"
7660,60378,ACCT3101,Group Assignment - Case Study: Audit Planning and Testing,carried (whole)," -> LO3, LO4, LO6"
7560,60372,ACCT7103,In-Semester Exam,carried (partial),"LO1, LO3, LO4 -> LO1, LO2, LO3, LO4, LO5"
7560,60372,ACCT7103,Final Exam,carried (partial),"LO1, LO2, LO3, LO4, LO5 -> LO1, LO2, LO3, LO4, LO5, LO6"
7620,20295,ACCT7106,Final Examination,not carried,learning outcomes changed since 7580; check in Jac
7660,60387,ACCT7106,Financial Statement Analysis Project - Part 1,carried (whole), -> LO1
7660,60387,ACCT7106,Financial Statement Analysis Project - Part 2,carried (whole)," -> LO2, LO4, LO5"
7660,60387,ACCT7106,Financial Statement Analysis Project - Part 3,carried (whole), -> LO5
7660,60387,ACCT7106,Final Examination,carried (whole)," -> LO1, LO2, LO3, LO4"
7660,60393,BISM2202,Business Analytics Case Study,carried (partial),"LO1, LO2, LO3, LO5 -> LO1, LO2, LO3, LO4, LO5"
7620,20304,BISM2207,Online Quiz,not carried,learning outcomes changed since 7560; check in Jac
7620,20304,BISM2207,System Development,not carried,learning outcomes changed since 7560; check in Jac
7620,20304,BISM2207,Final Exam,not carried,learning outcomes changed since 7560; check in Jac
7660,62123,BISM2207,Online Quiz,carried (whole)," -> LO1, LO2, LO3"
7660,62123,BISM2207,System Development,carried (whole)," -> LO1, LO2, LO3, LO4, LO5"
7660,62123,BISM2207,Final Exam,carried (whole)," -> LO1, LO2, LO3"
7660,60396,BISM3208,Emerging Technology: Team presentation,carried (whole)," -> LO1, LO2, LO4, LO6"
7660,60396,BISM3208,Established Technology: Individual presentation,carried (whole)," -> LO1, LO4"
7660,60396,BISM3208,Digital Transformation Hackathon - Pitch Presentation,carried (whole)," -> LO1, LO2, LO3, LO4, LO5, LO6"
7660,60396,BISM3208,Learning Reflection and Individual Progress Report,carried (whole)," -> LO2, LO4, LO6"
7660,60399,BISM7208,Learning Reflection and Individual Progress Report,carried (partial),"LO2 -> LO2, LO4"
7620,20314,BISM7221,Career Jam: Information Systems Advisory Roles,not carried,learning outcomes changed since 7520; check in Jac
7520,22456,BISM7808,IT Governance Mechanisms in Action Team Project,not carried,learning outcomes changed since 7460; check in Jac
7660,60174,BISM7808,IT Governance Mechanisms in Action Team Project,carried (whole)," -> LO1, LO3"
7660,60174,BISM7808,Ethical Decision Making Case Study,carried (whole)," -> LO1, LO4"
7660,60404,BSAN2201,Assessment 3 - Reflection (Video),carried (partial),"LO1, LO3, LO5 -> LO1, LO2, LO3, LO4, LO5"
7660,60076,BSAN3212,Deep Learning for Business Essay (A1),not carried,learning outcomes changed since 7560; check in Jac
7660,60076,BSAN3212,Deep Learning Coding Project Journal (A2),not carried,learning outcomes changed since 7560; check in Jac
7660,60078,BSAN7206,Data Warehousing Project - Part 2,not carried,learning outcomes changed since 7560; check in Jac
7620,20808,ECON2300,End-of-semester Exam,carried (partial),"LO1, LO2, LO3, LO4 -> LO1, LO2, LO3, LO4, LO5"
7660,60652,ECON3210,Tutorial engagement tests,carried (whole)," -> LO1, LO2, LO3, LO4, LO5"
