semester,course,flag,lo_count,assessments,assessments_with_los,unreferenced_los,has_override
7620,ACCT3101,MISSING_ALL,6,3,0,LO1 LO2 LO3 LO4 LO5 LO6,yes
7620,ACCT7106,MISSING_ALL,5,4,0,LO1 LO2 LO3 LO4 LO5,yes
7620,BISM2207,MISSING_ALL,5,3,0,LO1 LO2 LO3 LO4 LO5,yes
7620,BISM2208,MISSING_ALL,5,3,0,LO1 LO2 LO3 LO4 LO5,yes
7620,BISM3208,MISSING_ALL,6,4,0,LO1 LO2 LO3 LO4 LO5 LO6,yes
7620,BISM7807,MISSING_ALL,5,3,0,LO1 LO2 LO3 LO4 LO5,yes
7620,ECON7002,MISSING_ALL,6,3,0,LO1 LO2 LO3 LO4 LO5 LO6,yes
7620,ECON7300,MISSING_ALL,4,3,0,LO1 LO2 LO3 LO4,yes
7620,EVNT7052,MISSING_ALL,5,3,0,LO1 LO2 LO3 LO4 LO5,yes
7620,FINM7407,MISSING_ALL,5,3,0,LO1 LO2 LO3 LO4 LO5,yes
7620,FINM7805,MISSING_ALL,5,3,0,LO1 LO2 LO3 LO4 LO5,yes
7620,HOSP2005,MISSING_ALL,5,2,0,LO1 LO2 LO3 LO4 LO5,yes
7620,HOSP7052,MISSING_ALL,4,2,0,LO1 LO2 LO3 LO4,yes
7620,IBUS2301,MISSING_ALL,5,4,0,LO1 LO2 LO3 LO4 LO5,yes
7620,IBUS2302,MISSING_ALL,5,4,0,LO1 LO2 LO3 LO4 LO5,yes
7620,IBUS3306,MISSING_ALL,5,3,0,LO1 LO2 LO3 LO4 LO5,yes
7620,IBUS7302,MISSING_ALL,5,3,0,LO1 LO2 LO3 LO4 LO5,yes
7620,IBUS7306,MISSING_ALL,5,4,0,LO1 LO2 LO3 LO4 LO5,yes
7620,IBUS7312,MISSING_ALL,5,3,0,LO1 LO2 LO3 LO4 LO5,yes
7620,LAWS3101,MISSING_ALL,6,3,0,LO1 LO2 LO3 LO4 LO5 LO6,yes
7620,LAWS7012,MISSING_ALL,6,3,0,LO1 LO2 LO3 LO4 LO5 LO6,yes
7620,MGTS3601,MISSING_ALL,4,2,0,LO1 LO2 LO3 LO4,yes
7620,MGTS3609,MISSING_ALL,4,3,0,LO1 LO2 LO3 LO4,yes
7620,MGTS7309,MISSING_ALL,6,2,0,LO1 LO2 LO3 LO4 LO5 LO6,yes
7620,MGTS7619,MISSING_ALL,5,3,0,LO1 LO2 LO3 LO4 LO5,yes
7620,MGTS7803,MISSING_ALL,5,3,0,LO1 LO2 LO3 LO4 LO5,yes
7620,MGTS7810,MISSING_ALL,3,3,0,LO1 LO2 LO3,yes
7620,MGTS7820,MISSING_ALL,4,3,0,LO1 LO2 LO3 LO4,yes
