semester_code,class_number,course_code,assessment_title,learning_outcomes,notes
7660,60242,ACCT1112,In-Semester Exam,"LO1, LO2, LO3, LO4, LO5","Carried forward from 7560 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60242,ACCT1112,Assignment: Understanding Financial Statements,"LO1, LO2, LO3, LO4, LO5, LO6","Carried forward from 7560 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60242,ACCT1112,Final exam,"LO1, LO2, LO3, LO4, LO5","Carried forward from 7560 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60378,ACCT3101,In-Semester Exam,"LO1, LO2, LO3, LO5","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60378,ACCT3101,Group Assignment - Case Study: Audit Planning and Testing,"LO3, LO4, LO6","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7560,60372,ACCT7103,In-Semester Exam,"LO1, LO2, LO3, LO4, LO5","Carried forward from 7520 (scraped): the 7560 profile shows LO1, LO3, LO4, a partial drop by the publishing fault. Confirm in Jac if the mapping changed."
7560,60372,ACCT7103,Final Exam,"LO1, LO2, LO3, LO4, LO5, LO6","Carried forward from 7520 (scraped): the 7560 profile shows LO1, LO2, LO3, LO4, LO5, a partial drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60387,ACCT7106,Financial Statement Analysis Project - Part 1,LO1,"Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60387,ACCT7106,Financial Statement Analysis Project - Part 2,"LO2, LO4, LO5","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60387,ACCT7106,Financial Statement Analysis Project - Part 3,LO5,"Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60387,ACCT7106,Final Examination,"LO1, LO2, LO3, LO4","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60393,BISM2202,Business Analytics Case Study,"LO1, LO2, LO3, LO4, LO5","Carried forward from 7620 (scraped): the 7660 profile shows LO1, LO2, LO3, LO5, a partial drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,62123,BISM2207,Online Quiz,"LO1, LO2, LO3","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,62123,BISM2207,System Development,"LO1, LO2, LO3, LO4, LO5","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,62123,BISM2207,Final Exam,"LO1, LO2, LO3","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60396,BISM3208,Emerging Technology: Team presentation,"LO1, LO2, LO4, LO6","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60396,BISM3208,Established Technology: Individual presentation,"LO1, LO4","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60396,BISM3208,Digital Transformation Hackathon - Pitch Presentation,"LO1, LO2, LO3, LO4, LO5, LO6","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60396,BISM3208,Learning Reflection and Individual Progress Report,"LO2, LO4, LO6","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
