semester_code,class_number,course_code,assessment_title,learning_outcomes,notes
7620,,ACCT3101,Final Exam (closed book invigilated exam),"LO1, LO2, LO3, LO4, LO5","Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,ACCT3101,Group Assignment - Case Study: Audit Planning and Testing,"LO3, LO4, LO6","Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,ACCT3101,In-Semester Exam,"LO1, LO2, LO3, LO5","Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,ACCT7106,Final Examination,"LO1, LO2, LO3, LO4","Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,ACCT7106,Financial Statement Analysis Project - Part 1,LO1,"Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,ACCT7106,Financial Statement Analysis Project - Part 2,"LO2, LO4, LO5","Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,ACCT7106,Financial Statement Analysis Project - Part 3,LO5,"Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,BISM2207,Final Exam,"LO1, LO2, LO3","Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,BISM2207,Online Quiz,"LO1, LO2, LO3","Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,BISM2207,System Development,"LO1, LO2, LO3, LO4, LO5","Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,BISM2208,In-Semester Exam,"LO1, LO2, LO4","Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,BISM2208,Project Brief,"LO1, LO2, LO3","Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,BISM2208,Project Management Plan and Presentation,"LO2, LO3, LO5","Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,BISM3208,Digital Transformation Hackathon - Pitch Presentation,"LO1, LO2, LO3, LO4, LO5, LO6","Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,BISM3208,Emerging Technology: Team presentation,"LO1, LO2, LO4, LO6","Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,BISM3208,Established Technology: Individual presentation,"LO1, LO4","Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,BISM3208,Learning Reflection and Individual Progress Report,"LO2, LO4, LO6","Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,BISM7221,Business Consulting Report (IS Recommendations),"LO1, LO2, LO3, LO4","Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,BISM7221,Career Jam: Information Systems Advisory Roles,LO5,"Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,BISM7221,Final Examination,"LO1, LO2, LO3, LO4","Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,BISM7807,A1: Online Quizzes (two),"LO1, LO2, LO4, LO5","Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,BISM7807,A2: Team Case Study Presentation and Reflection,"LO2, LO3, LO4","Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,BISM7807,A3: Operational Review Report,"LO1, LO2, LO4, LO5","Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,BISM7808,Ethical Decision Making Case Study,"LO1, LO4","Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,BISM7808,IT Governance Mechanisms in Action Team Project,"LO1, LO3","Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,BISM7808,Impact of Emerging Digital Technologies,LO2,"Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,ECON7002,"Author, Moderate and Answer Questions via RiPPLE","LO1, LO2, LO3, LO4, LO5, LO6","Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,ECON7002,End-of-Semester Exam,"LO1, LO2, LO3, LO4, LO5, LO6","Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,ECON7002,Markets in Action,"LO1, LO2, LO3, LO4, LO5, LO6","Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,ECON7300,End-of-semester Exam,"LO1, LO2, LO4","Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,ECON7300,Pre-lecture Quizzes,"LO1, LO2, LO3, LO4","Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,ECON7300,Project,"LO2, LO3","Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,EVNT7052,In-Semester Exam,"LO1, LO2","Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,EVNT7052,Infographic - Event sponsorship plan evaluation,"LO3, LO4, LO5","Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,EVNT7052,Sponsorship proposal pitch,"LO3, LO4, LO5","Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,FINM7407,Case Study Assignment,"LO2, LO3, LO4, LO5","Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,FINM7407,Final Exam,"LO1, LO2, LO3, LO4, LO5","Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,FINM7407,In-Semester Examination,"LO1, LO2, LO3, LO4","Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,FINM7805,A1: Oral Presentation,"LO1, LO2, LO3","Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,FINM7805,A2: Financial Evaluation,"LO1, LO2, LO3, LO4, LO5","Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,FINM7805,A3: Real-World Scenario and Financial Problem Report,"LO1, LO2, LO3, LO4","Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,HOSP2005,Business Advice on Restaurant Management,"LO1, LO2, LO3, LO4, LO5","Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,HOSP2005,Reflective Essay,"LO1, LO3, LO4, LO5","Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,HOSP7052,Queensland Gaming,"LO1, LO2, LO3, LO4","Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,HOSP7052,Report on Innovative Technology,"LO1, LO2, LO3, LO4","Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,IBUS2301,Case Study (Special Topics),"LO1, LO4","Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,IBUS2301,Company Pitches,"LO2, LO3, LO4, LO5","Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,IBUS2301,Evaluations,LO4,"Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,IBUS2301,Final Exam,"LO1, LO2, LO3, LO4, LO5","Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,IBUS2302,Final exam,"LO1, LO2, LO3, LO4, LO5","Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,IBUS2302,Reflection,"LO2, LO3, LO4, LO5","Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,IBUS2302,Team Presentation and Reflexivity Journey Map,"LO3, LO4, LO5","Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,IBUS2302,Wicked Problem Taming Activity,"LO3, LO4, LO5","Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
7620,,IBUS3306,Final Exam - In Person on Campus BYOD,"LO1, LO2, LO3, LO4, LO5","Source: Jac curriculum.uq.edu.au, Sem 1 2026 (auto-extracted)"
